"A82071","01H","","20130401","20170331","1"
"A82072","01K","","20170401","","1"
"A82072","4KC44","","19990401","20010331","1"
"A82072","5DD","","20010401","20060930","1"
"A82072","5NE","","20061001","20130331","1"
"A82072","01H","","20130401","20170331","1"
"A82074","01K","","20170401","20190731","1"
"A82074","4DQ30","","19990401","20010331","1"
"A82074","5DD","","20010401","20060930","1"
"A82074","5NE","","20061001","20130331","1"
"A82074","01H","","20130401","20170331","1"
"A82075","4MW56","","19990401","20010331","1"
"A82075","5D6","","20010401","20060930","1"
"A82075","5NE","","20061001","20130331","1"
"A82075","01H","","20130401","","1"
"A82077","01K","","20170401","20241031","1"
"A82077","4KC44","","19990401","20010331","1"
"A82077","5DD","","20010401","20060930","1"
"A82077","5NE","","20061001","20130331","1"
"A82077","01H","","20130401","20170331","1"
"A82608","01K","","20170401","","1"
"A82608","4DQ30","","19990401","20010331","1"
"A82608","5DD","","20010401","20060930","1"
"A82608","5NE","","20061001","20130331","1"
"A82608","01H","","20130401","20170331","1"
"A82613","01K","","20170401","","1"
"A82613","4DQ30","","19990401","20010331","1"
"A82613","5DD","","20010401","20060930","1"
"A82613","5NE","","20061001","20130331","1"
"A82613","01H","","20130401","20170331","1"
"A82617","4JY13","","19990401","20010331","1"
"A82617","5D5","","20010401","20060930","1"
"A82617","5NE","","20061001","20130331","1"
"A82617","01H","","20130401","","1"
"A82620","4JY13","","19990401","20010331","1"
"A82620","5D5","","20010401","20060930","1"
"A82620","5NE","","20061001","20130331","1"
"A82620","01H","","20130401","","1"
"A82621","01K","","20170401","20210831","1"
"A82621","4KC44","","19990401","20010331","1"
"A82621","5DD","","20010401","20060930","1"
"A82621","5NE","","20061001","20130331","1"
"A82621","01H","","20130401","20170331","1"
"A82623","4MW56","","19990401","20010331","1"
"A82623","5D6","","20010401","20060930","1"
"A82623","5NE","","20061001","20130331","1"
"A82623","01H","","20130401","20220331","1"
"A82629","01K","","20170401","","1"
"A82629","4KC44","","19990401","20010331","1"
"A82629","5DD","","20010401","20060930","1"
"A82629","5NE","","20061001","20130331","1"
"A82629","01H","","20130401","20170331","1"
"A82631","4JY13","","19990401","20010331","1"
"A82631","5D5","","20010401","20060930","1"
"A82631","5NE","","20061001","20130331","1"
"A82631","01H","","20130401","","1"
"A82642","4DQ30","","19990401","20010331","1"
"A82642","5DD","","20010401","20060930","1"
"A82642","5NE","","20061001","20130331","1"
"A82642","01H","","20130401","20170630","1"
"A82646","4NA24","","19990401","20010331","1"
"A82646","5D4","","20010401","20060930","1"
"A82646","5NE","","20061001","20130331","1"
"A82646","01H","","20130401","","1"
"A82647","01K","","20170401","","1"
"A82647","4DQ30","","19990401","20010331","1"
"A82647","5DD","","20010401","20060930","1"
"A82647","5NE","","20061001","20130331","1"
"A82647","01H","","20130401","20170331","1"
"A82650","01K","","20170401","","1"
"A82650","4DQ30","","19990401","20010331","1"
"A82650","5DD","","20010401","20060930","1"
"A82650","5NE","","20061001","20130331","1"
"A82650","01H","","20130401","20170331","1"
"A82651","01K","","20170401","","1"
"A82651","4DQ30","","19990401","20010331","1"
"A82651","5DD","","20010401","20060930","1"
"A82651","5NE","","20061001","20130331","1"
"A82651","01H","","20130401","20170331","1"
"A82654","4NA24","","20010101","20010331","1"
"A82654","5D4","","20010401","20060930","1"
"A82654","5NE","","20061001","20130331","1"
"A82654","01H","","20130401","","1"
"A83001","84H","","20200401","","1"
"A83001","5ND","","20061001","20130331","1"
"A83001","5KE","","20020401","20060930","1"
"A83001","4KQ91","","19990401","20020331","1"
"A83001","00D","","20130401","20200331","1"
"A83003","84H","","20200401","","1"
"A83003","4YW85","","19990401","20020331","1"
"A83003","5ND","","20061001","20130331","1"
"A83003","5J8","","20020401","20060930","1"
"A83003","00D","","20130401","20200331","1"
"A83004","84H","","20200401","20201130","1"
"A83004","4EE45","","19990401","20020331","1"
"A83004","5ND","","20061001","20130331","1"
"A83004","5KD","","20020401","20060930","1"
"A83004","00D","","20130401","20200331","1"
"A83005","16C","","20200401","","1"
"A83005","4GN78","","19990401","20020331","1"
"A83005","5J9","","20020401","20130331","1"
"A83005","00C","","20130401","20200331","1"
"A83006","16C","","20200401","","1"
"A83006","4GN78","","19990401","20020331","1"
"A83006","5J9","","20020401","20130331","1"
"A83006","00C","","20130401","20200331","1"
"A83007","84H","","20200401","","1"
"A83007","4EE45","","19990401","20020331","1"
"A83007","5ND","","20061001","20130331","1"
"A83007","5KD","","20020401","20060930","1"
"A83007","00D","","20130401","20200331","1"
"A83008","84H","","20200401","","1"
"A83008","5ND","","20061001","20130331","1"
"A83008","5KE","","20020401","20060930","1"
"A83008","4KQ91","","19990401","20020331","1"
"A83008","00D","","20130401","20200331","1"
"A83009","84H","","20200401","","1"
"A83009","5ND","","20061001","20130331","1"
"A83009","5KC","","20020401","20060930","1"
"A83009","4KF02","","19990401","20020331","1"
"A83009","00J","","20130401","20200331","1"
"A83010","16C","","20200401","","1"
"A83010","4GN78","","19990401","20020331","1"
"A83010","5J9","","20020401","20130331","1"
