"231","HORSHAM DISTRICT COUNCIL","Y59","S9B9J","PARKSIDE","CHART WAY","","HORSHAM","","RH12 1RL","20040401","","","RO36","","","","","","","","1","","","","",""
"232","HUNTINGDONSHIRE DISTRICT COUNCIL","Y61","S1Y5D","PATHFINDER HOUSE","ST MARYS STREET","","HUNTINGDON","","PE29 3TN","20040401","","","RO36","","","","","","","","1","","","","",""
"233","HYNDBURN BOROUGH COUNCIL","Y62","QE1","SCAITCLIFFE HOUSE","ORMEROD STREET","","ACCRINGTON","","BB5 0PF","20040401","","","RO34","","","","","","","","1","","","","",""
"234","IPSWICH BOROUGH COUNCIL","Y61","T6Y0W","GRAFTON HOUSE","15-17 RUSSELL ROAD","","IPSWICH","","IP1 2DE","20040401","","","RO34","","","","","","","","1","","","","",""
"236","KETTERING BOROUGH COUNCIL","Y60","QPM","MUNICIPAL OFFICES","BOWLING GREEN ROAD","","KETTERING","","NN15 7QX","20040401","20210331","","RO34","","","","","","","","1","","","","",""
"237","BOROUGH COUNCIL OF KING'S LYNN AND WEST NORFOLK","Y61","T6Y0W","KINGS COURT","CHAPEL STREET","","KING'S LYNN","","PE30 1EX","20040401","","","RO34","","","","","","","","1","","","","",""
"238","LANCASTER CITY COUNCIL","Y62","QE1","TOWN HALL","DALTON SQUARE","","LANCASTER","","LA1 1PJ","20040401","","","RO35","","","","","","","","1","","","","",""
"239","LEWES DISTRICT COUNCIL","Y59","S9B9J","32 HIGH STREET","","","LEWES","","BN7 2LX","20040401","","","RO36","","","","","","","","1","","","","",""
"240","LICHFIELD DISTRICT COUNCIL","Y60","QNC","DISTRICT COUNCIL HOUSE","FROG LANE","","LICHFIELD","","WS13 6YU","20040401","","","RO36","","","","","","","","1","","","","",""
"241","MAIDSTONE BOROUGH COUNCIL","Y59","QKS","MAIDSTONE HOUSE","KING STREET","","MAIDSTONE","","ME15 6JQ","20040401","","","RO34","","","","","","","","1","","","","",""
"242","MALDON DISTRICT COUNCIL","Y61","D7T5G","COUNCIL OFFICES","PRINCES ROAD","","MALDON","","CM9 5DL","20040401","","","RO36","","","","","","","","1","","","","",""
